year,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2015,0,0,0,1,62.783672,106.8734,24.061514,4.711874,13.036806,230.61591,15.808344,54.526291,517.05988,2025.7052,51.591091
2015,0,0,0,2,90.105965,134.12711,26.778294,6.4988079,25.229706,238.50488,22.739008,59.575207,565.8512,2093.731,74.902992
2015,0,0,0,3,100.96696,120.97529,33.707798,11.126923,33.703049,210.91069,42.41053,65.822495,686.38995,2437.1099,126.61706
2015,0,0,0,999,73.330475,115.37772,25.601891,5.7309508,18.048254,231.07826,19.905533,56.831646,544.39526,2078.5527,64.15757
2015,0,0,1,1,83.616341,112.91258,30.050507,5.5794053,24.131212,243.59515,26.054007,62.274902,560.04272,2076.1685,72.957542
2015,0,0,1,2,113.18385,137.19617,28.891294,6.3500695,39.611324,236.94569,36.678406,66.490875,637.30048,2234.5703,117.6048
2015,0,0,1,3,104.17474,109.9763,30.785002,6.8492928,43.653156,236.31456,66.915314,71.982903,796.83258,2604.8787,206.92091
2015,0,0,1,999,95.823174,119.75142,29.819592,6.0155811,31.930214,240.42274,35.821819,65.104912,621.37048,2208.8572,107.93624
2015,0,0,999,1,72.212189,109.60663,26.77203,5.1045041,18.057945,236.4901,20.445358,58.03318,536.51318,2048.5439,61.261189
2015,0,0,999,2,102.27216,135.74506,27.892225,6.4203959,32.811401,237.68291,30.087574,63.221008,603.51782,2167.9785,97.414513
2015,0,0,999,3,103.06951,113.766,31.792049,8.3231478,40.224857,227.56169,58.47221,69.860344,758.77972,2547.0742,179.25229
2015,0,0,999,999,84.546173,117.55861,27.704994,5.8728781,24.970316,235.73776,27.841986,60.957005,582.77795,2143.5273,85.987244
2015,0,1,0,1,72.593628,163.47871,32.011475,6.1169772,18.229454,145.25397,13.500751,57.134148,491.82425,1944.5972,35.693714
2015,0,1,0,2,99.850754,197.05399,31.796108,6.7797842,33.193554,131.58243,15.822506,62.002975,504.18311,2235.7358,45.951851
2015,0,1,0,3,105.77266,179.33521,39.835232,7.4644356,43.290459,124.87722,25.887459,69.37764,600.44733,2707.5542,76.606079
2015,0,1,0,999,84.721748,175.68057,32.800591,6.4710646,25.636988,138.76202,15.580152,59.991875,507.56488,2118.8545,43.369064
2015,0,1,1,1,93.735916,166.69949,40.785484,5.976428,32.725216,158.78435,19.917904,65.116394,517.74969,2123.0608,48.734653
2015,0,1,1,2,119.91486,195.2664,34.140766,6.0158663,48.719585,140.17192,22.801939,68.498421,562.03662,2515.1357,70.329178
2015,0,1,1,3,109.3225,171.0564,38.65955,5.5453596,54.545071,149.80132,38.447289,74.659691,688.5874,2937.7764,118.57005
2015,0,1,1,999,105.84924,177.37125,38.079288,5.9031839,42.601185,150.59454,24.636396,68.196892,567.32104,2421.48,70.195435
2015,0,1,999,1,83.109131,165.08063,36.375389,6.0470724,25.439186,151.98355,16.69244,61.104263,504.71872,2033.3594,42.179867
2015,0,1,999,2,111.49164,196.01686,33.156441,6.3365712,42.201515,136.56592,19.871864,65.77153,537.74878,2397.8394,60.095196
2015,0,1,999,3,108.25034,173.5569,39.014648,6.1249886,51.145786,142.27336,34.653782,73.064331,661.96606,2868.2412,105.89546
2015,0,1,999,999,96.486237,176.62201,35.739944,6.1548505,35.083214,145.35077,20.622967,64.560699,540.83911,2287.3665,58.306873
