year,female,age,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
1995,0,2,0,1,59.269226,82.058281,15.194007,9.2723961,9.125783,66.430031,16.807707,45.525459,504.67523,2078.2097,62.299797
1995,0,2,0,2,86.460823,121.47012,19.260935,8.2028751,16.940714,66.882935,23.677019,48.584412,569.05219,1841.1045,96.280067
1995,0,2,0,3,104.05848,130.91714,27.786747,13.023443,21.386442,60.464706,38.652252,51.218899,667.36273,2117.2214,140.07295
1995,0,2,0,999,77.202148,104.81809,19.062456,9.6766424,14.15659,65.377876,23.457424,47.674648,558.534,2008.3008,89.098114
1995,0,2,1,1,79.011703,81.273117,18.734449,9.5586882,13.322535,87.155083,29.644144,53.589714,596.5249,2059.47,96.977966
1995,0,2,1,2,111.13949,106.39639,22.921204,8.4971695,22.366829,91.597046,48.178192,59.448074,724.03369,2141.9316,172.70259
1995,0,2,1,3,121.64755,102.61225,28.472118,12.318439,27.165894,94.014153,80.406364,63.402756,877.55847,2528.9248,255.18475
1995,0,2,1,999,102.71079,96.202728,23.078051,10.026967,20.546688,90.721161,51.170513,58.52309,724.14868,2228.3711,170.16144
1995,0,2,999,1,66.065788,81.787971,16.412842,9.3709545,10.57056,73.564857,21.226788,48.301666,536.29547,2071.7583,74.238129
1995,0,2,999,2,96.700577,115.21568,20.779665,8.3249846,19.192137,77.137398,33.843128,53.091999,633.3576,1965.9247,127.98956
1995,0,2,999,3,112.95026,116.60822,28.133221,12.667044,24.308119,77.424904,59.760139,57.378185,773.62262,2325.3491,198.26523
1995,0,2,999,999,87.576706,101.31416,20.695629,9.8191223,16.755491,75.685181,34.72855,52.086792,625.89075,2097.8049,122.06718
1995,0,7,0,1,73.82753,143.45718,30.0539,7.3860211,24.517422,189.33154,19.658052,46.620598,438.0809,1671.9152,62.755169
1995,0,7,0,2,101.3866,190.27943,33.795982,6.6911325,45.038925,191.87425,26.751245,49.022923,456.69055,1522.6836,90.080032
1995,0,7,0,3,116.0282,194.88023,51.500492,10.841531,54.514935,174.59418,43.50943,51.667046,520.77869,1744.1418,126.48466
1995,0,7,0,999,92.095078,170.18282,35.875706,7.8862925,37.816795,187.05598,27.121437,48.50378,461.9397,1636.9358,85.520821
1995,0,7,1,1,93.74128,136.75485,37.920494,7.6117406,33.852295,230.46791,36.177464,54.262165,501.42239,1691.5646,96.371346
1995,0,7,1,2,117.71674,157.75543,40.452568,7.3152776,53.721333,241.58606,57.555851,59.254677,569.12286,1802.0961,157.13203
1995,0,7,1,3,118.75511,140.22115,48.261047,11.235831,60.311104,245.77702,93.48864,63.581764,684.76538,2147.6858,222.01396
1995,0,7,1,999,109.7428,145.05554,41.996136,8.6327553,48.888515,239.03778,61.293583,58.868103,581.53314,1870.9424,156.21391
1995,0,7,999,1,80.787392,141.11472,32.803276,7.4649105,27.779961,203.70871,25.431587,49.291325,460.21878,1678.7827,74.504028
1995,0,7,999,2,108.1839,176.74156,36.566734,6.9509282,48.652912,212.56642,39.573433,53.281815,503.48965,1638.9869,117.98993
1995,0,7,999,3,117.40428,167.29753,49.865768,11.040507,57.439865,210.51529,68.730522,57.679588,603.53156,1947.7828,174.69177
1995,0,7,999,999,99.355148,159.84573,38.393585,8.1933794,42.371578,208.4407,41.179474,52.767548,511.1391,1733.2035,114.60316
1995,0,12,0,1,68.410843,152.19283,32.99971,6.7102823,26.130579,233.19693,17.531565,46.447292,415.19302,1605.0405,55.718231
1995,0,12,0,2,91.261734,189.56322,36.26936,6.0608478,47.482597,247.29393,24.051971,49.090302,428.27319,1503.2726,79.560913
1995,0,12,0,3,103.05293,190.17722,54.789928,8.8123465,58.260235,228.87386,38.791813,51.861771,485.1463,1736.5424,110.98592
1995,0,12,0,999,83.494705,172.88269,38.745083,6.9393258,40.173862,237.0271,24.259672,48.491905,434.50824,1598.7618,75.53154
1995,0,12,1,1,85.94783,143.39682,41.991745,6.854353,37.170406,283.8616,32.653866,54.198952,473.20877,1640.6165,85.009384
1995,0,12,1,2,104.73468,156.18117,43.485153,6.3480792,58.591362,304.29721,51.123474,59.446106,529.81799,1791.3204,135.67537
1995,0,12,1,3,104.48505,139.14456,50.014507,8.7116032,66.586212,307.53381,80.05899,63.499432,627.77966,2129.2178,187.24652
1995,0,12,1,999,98.284195,146.4567,45.043903,7.267365,53.855251,298.39026,54.011848,58.948612,541.60437,1847.0865,134.80405
1995,0,12,999,1,74.641693,149.06761,36.194561,6.7614703,30.053003,251.19797,22.904484,49.201439,435.80588,1617.6805,66.125313
1995,0,12,999,2,97.023842,175.28641,39.355404,6.183691,52.233589,271.67307,35.629894,53.519268,471.70181,1626.4647,103.55991
1995,0,12,999,3,103.7982,163.62007,52.304825,8.7599201,62.593029,269.80811,60.26704,57.91795,559.37201,1940.8887,150.67155
1995,0,12,999,999,89.740303,161.72299,41.405075,7.0778565,45.951511,262.94077,36.824013,52.907772,479.73492,1703.6293,100.56232
1995,0,17,0,1,67.043945,162.17516,33.885757,6.7100368,26.690647,217.70456,15.640706,46.475128,404.4357,1592.8892,48.871456
1995,0,17,0,2,87.918037,197.25082,36.324528,5.9973946,48.044083,231.50674,21.101824,49.111263,414.41495,1515.0582,68.733963
1995,0,17,0,3,98.631721,197.11856,54.427376,7.9205284,59.12928,217.05862,33.599113,51.960182,466.70087,1755.6593,95.270432
1995,0,17,0,999,81.046982,181.75403,39.193108,6.7306533,41.04258,222.27235,21.416306,48.56945,421.40573,1601.8004,65.756294
1995,0,17,1,1,83.66758,151.35846,43.040646,6.7992477,38.508053,273.78668,29.363033,54.258221,461.37616,1645.4523,74.785469
1995,0,17,1,2,100.67675,161.90817,43.333309,6.1534595,60.061344,294.91159,44.610443,59.480629,513.00336,1833.0659,117.32495
1995,0,17,1,3,99.960922,145.89461,49.143791,7.6466966,68.551178,299.42932,68.47007,63.693634,602.04999,2172.9004,160.13
1995,0,17,1,999,94.862297,153.26059,45.118614,6.8489089,55.736115,289.44083,47.331455,59.130669,524.89069,1881.5223,117.22256
1995,0,17,999,1,73.013176,158.29109,37.173103,6.7420707,30.934053,237.84258,20.568132,49.26989,424.88193,1611.7637,58.176685
1995,0,17,999,2,93.459816,181.89964,39.368813,6.0651817,53.263813,259.04681,31.312857,53.615227,457.23712,1653.1858,89.839592
1995,0,17,999,3,99.333565,170.07143,51.637554,7.7759404,64.104202,260.55179,52.011578,58.155647,538.16754,1975.9697,129.51741
1995,0,17,999,999,86.980263,169.51691,41.737942,6.7814407,47.353031,251.11929,32.546124,53.105194,465.84955,1721.933,87.859596
