Code,Item,Group,Region_Number,REGION_NAME,State_Name,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Average_Annual_Percent_Growth
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,25939,28465,30528,31667,32338,32182,31850,31390,32152,34149,36770,40384,42955,44532,45816,45557,45608,47242,50913,53961,56235,58141,58974,65548,4.1
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,1425,1209,1264,1249,1293,1303,1333,1411,1449,1487,1589,1761,1684,1734,1777,1803,1856,2050,2194,2365,2606,2780,2847,3252,3.7
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,4561,4903,5210,5456,5588,5684,5820,5443,5630,5556,5717,6370,6808,7161,7565,7566,7509,7741,8351,8893,9317,9543,9781,10520,3.7
11,Medicaid Enrollee Population (Thousands),Region,3,Great Lakes,,4476,4761,4943,5065,5033,4828,4618,4463,4381,4571,4934,5382,5871,6233,6557,6593,6745,7132,7742,8348,8556,8786,8915,9884,3.5
11,Medicaid Enrollee Population (Thousands),Region,4,Plains,,1425,1519,1658,1724,1786,1799,1779,1776,1848,1963,2105,2240,2322,2406,2415,2371,2386,2432,2613,2783,2985,3065,3089,3318,3.7
11,Medicaid Enrollee Population (Thousands),Region,5,Southeast,,6112,7074,7734,8009,8456,8299,8308,8376,8652,9045,9912,10562,11106,11450,11724,11456,11143,11542,12447,13054,13576,14050,14361,15231,4
11,Medicaid Enrollee Population (Thousands),Region,6,Southwest,,2300,2694,2944,3129,3187,3163,3045,2954,3021,3180,3455,4065,4617,4877,5034,5046,5253,5423,5926,6226,6424,6724,6757,6960,4.9
11,Medicaid Enrollee Population (Thousands),Region,7,Rocky Mountains,,469,541,585,610,615,592,552,570,589,636,694,767,851,901,940,942,919,939,1054,1166,1254,1289,1306,1542,5.3
11,Medicaid Enrollee Population (Thousands),Region,8,Far West,,5172,5764,6190,6425,6379,6515,6395,6395,6584,7711,8363,9238,9697,9770,9806,9780,9796,9983,10587,11127,11517,11903,11919,14841,4.7
11,Medicaid Enrollee Population (Thousands),State,5,Southeast,Alabama,384,439,469,477,464,494,495,505,527,554,643,711,755,788,814,774,737,765,811,863,922,942,964,988,4.2
11,Medicaid Enrollee Population (Thousands),State,8,Far West,Alaska,39,48,56,65,66,62,53,63,66,71,75,79,82,84,87,90,88,88,94,103,109,111,111,113,4.7
11,Medicaid Enrollee Population (Thousands),State,6,Southwest,Arizona,347,412,459,485,490,495,476,459,463,506,619,819,964,1031,1095,1072,1114,1186,1350,1235,1155,1340,1345,1388,6.2
11,Medicaid Enrollee Population (Thousands),State,5,Southeast,Arkansas,241,265,272,270,275,281,294,336,385,410,457,512,571,597,625,616,565,562,582,594,600,599,606,812,5.4
11,Medicaid Enrollee Population (Thousands),State,8,Far West,California,4339,4811,5133,5279,5206,5279,5094,5000,5158,6220,6780,7498,7914,7977,8005,7992,8045,8166,8602,8892,9127,9455,9424,11505,4.3
11,Medicaid Enrollee Population (Thousands),State,7,Rocky Mountains,Colorado,216,249,265,272,272,265,259,255,261,284,305,335,366,388,412,421,413,430,490,551,591,610,617,845,6.1
11,Medicaid Enrollee Population (Thousands),State,1,New England,Connecticut,319,282,299,316,332,338,337,342,351,356,374,412,430,444,445,443,454,477,510,606,662,705,741,868,4.4
11,Medicaid Enrollee Population (Thousands),State,2,Mideast,Delaware,49,55,62,65,68,75,80,83,91,99,108,117,126,135,141,145,146,155,169,186,202,211,214,218,6.7
11,Medicaid Enrollee Population (Thousands),State,2,Mideast,District of Columbia,101,108,119,123,116,128,129,119,124,126,124,127,132,137,139,140,141,140,148,175,202,211,217,242,3.9
11,Medicaid Enrollee Population (Thousands),State,5,Southeast,Florida,1075,1456,1666,1622,1540,1391,1507,1487,1568,1727,1929,2082,2163,2185,2273,2233,2135,2313,2680,2874,3100,3288,3406,3534,5.3
