Code,Item,Group,Region_Number,Region_Name,State_Name,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Average_Annual_Percent_Growth
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,117273,132368,146235,163430,179858,193573,204204,202559,206035,216333,239111,256551,274001,300096,326278,382297,408710,442014,470329,488535,513520,535105,555120,580583,7.2
1,Medicare/Personal Health Care (Millions of Dollars),Region,1,New England,,6793,7718,8624,9525,10577,11454,11871,11578,11680,12289,13515,14239,15087,16455,17461,20367,21793,23286,24692,25481,26671,27720,28707,30139,6.7
1,Medicare/Personal Health Care (Millions of Dollars),Region,2,Mideast,,24994,27022,29884,32422,35101,37377,39540,40240,41219,43377,47473,50234,52178,55733,60243,69825,74890,80319,84375,86726,90840,93350,96216,100232,6.2
1,Medicare/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,19084,21608,23414,26103,28649,30494,31972,31882,32123,33824,37846,40343,43229,47588,51691,60185,64167,69278,73447,75816,79498,82252,85158,88634,6.9
1,Medicare/Personal Health Care (Millions of Dollars),Region,4,Plains,,7660,8629,9289,10219,11193,11866,12491,12461,12754,13520,15136,16136,17200,18860,20528,24277,25833,27530,28949,30051,31448,32926,34237,36052,7
1,Medicare/Personal Health Care (Millions of Dollars),Region,5,Southeast,,29366,33960,37550,42801,47236,51100,53903,52686,53799,56501,62726,67560,72959,80947,88084,103952,111329,120314,128497,133848,140619,146857,151900,158640,7.6
1,Medicare/Personal Health Care (Millions of Dollars),Region,6,Southwest,,9851,11418,12828,15095,17365,19265,20694,20001,19684,20524,22634,24801,27169,30517,33904,40198,43275,46623,50130,52651,55403,57875,60068,62950,8.4
1,Medicare/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,2341,2691,3023,3409,3863,4163,4386,4314,4479,4731,5251,5697,6199,6935,7604,8962,9592,10308,11105,11708,12383,13198,13815,14850,8.4
1,Medicare/Personal Health Care (Millions of Dollars),Region,8,Far West,,17184,19322,21622,23856,25875,27854,29347,29397,30298,31566,34531,37539,39980,43061,46763,54531,57832,64355,69134,72254,76658,80927,85017,89087,7.4
1,Medicare/Personal Health Care (Millions of Dollars),State,5,Southeast,Alabama,2046,2382,2634,2956,3244,3448,3624,3412,3530,3690,4065,4394,4756,5274,5698,6732,7135,7659,8039,8299,8621,8982,9289,9723,7
1,Medicare/Personal Health Care (Millions of Dollars),State,8,Far West,Alaska,90,105,117,133,160,174,186,183,197,216,235,260,287,350,373,418,439,484,541,562,611,644,696,741,9.6
1,Medicare/Personal Health Care (Millions of Dollars),State,6,Southwest,Arizona,1791,1924,2137,2370,2602,2832,2953,2911,3018,3239,3620,3993,4409,4998,5619,6668,7247,7862,8466,8938,9586,10083,10574,11069,8.2
1,Medicare/Personal Health Care (Millions of Dollars),State,5,Southeast,Arkansas,1243,1334,1409,1596,1770,1900,2007,2006,1991,2098,2371,2529,2714,2987,3266,3834,4151,4392,4623,4746,4981,5176,5304,5536,6.7
1,Medicare/Personal Health Care (Millions of Dollars),State,8,Far West,California,13141,14725,16633,18395,19880,21427,22471,22527,23061,23728,25705,27924,29684,31615,34445,40137,42382,47460,50818,53090,56254,59216,62146,64795,7.2
1,Medicare/Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Colorado,1124,1287,1438,1642,1860,2024,2123,2091,2186,2264,2470,2729,2953,3296,3625,4227,4508,4857,5245,5547,5840,6239,6484,7013,8.3
1,Medicare/Personal Health Care (Millions of Dollars),State,1,New England,Connecticut,1706,1927,2133,2382,2656,2843,2937,2885,2904,3107,3450,3677,3892,4290,4499,5217,5500,5871,6175,6290,6570,6728,7073,7410,6.6
1,Medicare/Personal Health Care (Millions of Dollars),State,2,Mideast,Delaware,350,342,377,420,453,501,525,557,563,607,693,753,823,946,1006,1170,1282,1433,1504,1580,1687,1755,1878,2004,7.9
1,Medicare/Personal Health Care (Millions of Dollars),State,2,Mideast,District of Columbia,342,384,418,456,483,518,549,565,555,566,567,589,608,651,699,769,778,829,860,881,924,956,993,1023,4.9
1,Medicare/Personal Health Care (Millions of Dollars),State,5,Southeast,Florida,8924,10535,11853,13578,14805,15930,16726,16422,16858,17743,19417,20818,22454,24818,27107,31344,33295,36343,39169,40532,42642,44546,45712,47697,7.6
1,Medicare/Personal Health Care (Millions of Dollars),State,5,Southeast,Georgia,2676,3152,3388,3769,4194,4472,4697,4487,4620,4810,5290,5752,6232,7014,7657,9384,10108,10892,11724,12370,13054,13873,14573,15318,7.9
1,Medicare/Personal Health Care (Millions of Dollars),State,8,Far West,Hawaii,364,409,452,506,564,593,626,618,658,723,824,881,925,992,1046,1222,1296,1443,1545,1629,1746,1848,1908,2036,7.8
1,Medicare/Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Idaho,324,379,421,481,549,601,650,645,668,727,807,866,936,1036,1144,1381,1472,1598,1735,1812,1953,2087,2199,2370,9
1,Medicare/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Illinois,5288,5982,6519,7302,7854,8319,8573,8513,8630,9057,10095,10753,11400,12500,13532,15855,16833,18055,19074,19787,20725,21285,21814,22520,6.5
1,Medicare/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Indiana,2271,2707,2969,3277,3626,3837,4122,4093,4008,4218,4773,5063,5497,6083,6627,7786,8270,9016,9650,10049,10628,11051,11538,12042,7.5
1,Medicare/Personal Health Care (Millions of Dollars),State,4,Plains,Iowa,1228,1353,1429,1548,1668,1772,1869,1863,1920,2046,2290,2388,2517,2748,3031,3622,3826,4068,4252,4390,4604,4812,5005,5224,6.5
1,Medicare/Personal Health Care (Millions of Dollars),State,4,Plains,Kansas,1118,1252,1349,1487,1652,1744,1844,1802,1844,1938,2136,2271,2466,2670,2889,3415,3603,3797,3964,4133,4307,4456,4594,4828,6.6
1,Medicare/Personal Health Care (Millions of Dollars),State,5,Southeast,Kentucky,1709,1921,2097,2338,2540,2737,2932,2883,2907,3090,3528,3814,4066,4470,4930,5796,6237,6741,7113,7459,7873,8155,8465,8768,7.4
