Code,Item,Group,Region_Number,REGION_NAME,State_Name,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Average_Annual_Percent_Growth
11,Medicare Enrollee Population (Thousands),United States,0,United States,,34139,34822,35532,36156,36739,37252,37617,37983,38278,38749,39136,39582,40160,40784,41536,42356,43259,44385,45467,46585,47741,49682,51274,52846,1.9
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1918,1953,1988,2018,2044,2067,2079,2093,2101,2120,2127,2140,2155,2171,2192,2223,2261,2315,2362,2411,2461,2555,2626,2694,1.5
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,6345,6433,6520,6587,6650,6695,6720,6756,6773,6825,6853,6893,6932,6975,7031,7116,7215,7356,7479,7611,7746,8009,8207,8395,1.2
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,5879,5976,6071,6146,6215,6261,6281,6310,6320,6364,6392,6434,6504,6576,6659,6764,6882,7033,7168,7308,7453,7723,7930,8134,1.4
11,Medicare Enrollee Population (Thousands),Region,4,Plains,,2669,2705,2738,2765,2790,2808,2819,2832,2839,2857,2872,2891,2918,2951,2992,3039,3089,3149,3207,3265,3319,3433,3522,3612,1.3
11,Medicare Enrollee Population (Thousands),Region,5,Southeast,,8727,8929,9150,9358,9545,9730,9881,10011,10126,10278,10426,10584,10787,11006,11253,11513,11791,12130,12449,12775,13123,13684,14155,14624,2.3
11,Medicare Enrollee Population (Thousands),Region,6,Southwest,,3034,3120,3211,3299,3381,3455,3517,3573,3625,3692,3750,3815,3904,4009,4147,4270,4399,4544,4695,4848,5004,5238,5439,5638,2.7
11,Medicare Enrollee Population (Thousands),Region,7,Rocky Mountains,,844,871,898,924,948,971,989,1006,1022,1042,1061,1080,1106,1134,1171,1209,1249,1294,1341,1387,1435,1513,1580,1647,2.9
11,Medicare Enrollee Population (Thousands),Region,8,Far West,,4723,4835,4955,5058,5167,5264,5330,5402,5473,5571,5655,5746,5855,5961,6092,6221,6373,6563,6766,6980,7199,7527,7814,8101,2.4
11,Medicare Enrollee Population (Thousands),State,5,Southeast,Alabama,593,606,619,631,642,653,662,670,677,686,696,706,720,734,755,772,789,809,828,845,864,896,922,947,2.1
11,Medicare Enrollee Population (Thousands),State,8,Far West,Alaska,27,28,30,32,34,35,37,38,40,42,44,46,48,50,52,54,57,60,63,66,69,73,76,80,4.9
11,Medicare Enrollee Population (Thousands),State,6,Southwest,Arizona,517,538,561,583,602,621,636,651,665,681,697,714,737,763,794,815,841,870,899,930,962,1009,1051,1096,3.3
11,Medicare Enrollee Population (Thousands),State,5,Southeast,Arkansas,397,404,411,417,423,427,431,433,436,439,442,446,453,461,472,485,496,509,520,531,542,559,572,584,1.7
