Code,Item,Group,Region_Number,Region_Name,State_Name,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Average_Annual_Percent_Growth
1,Personal Health Care (Millions of Dollars),United States,0,United States,,675896,731455,778684,820172,869578,917540,969531,1026103,1086280,1162035,1261944,1367628,1477697,1587994,1696222,1804672,1918820,2010690,2114221,2194625,2272582,2365948,2435624,2562824,6
1,Personal Health Care (Millions of Dollars),Region,1,New England,,41141,43852,46559,48652,52174,54893,58206,62436,65393,69755,75743,82381,88767,95454,101411,108337,115472,121374,128237,131705,135127,139653,143519,148571,5.7
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,135649,146771,156070,164568,173388,180731,189487,199086,211079,224651,242188,261134,282250,300805,318345,336138,354513,367687,386829,401722,415463,425105,437986,459082,5.4
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,112928,121704,129472,136223,144214,152065,159510,166636,175888,188061,203977,219619,235534,252115,266998,283469,299660,310106,326869,339536,350011,364863,373505,392044,5.6
1,Personal Health Care (Millions of Dollars),Region,4,Plains,,45974,49328,52338,56106,59616,63371,67178,72354,76777,82723,89589,97122,104329,110966,117460,123934,132554,139251,145313,151164,157465,163907,168202,175912,6
1,Personal Health Care (Millions of Dollars),Region,5,Southeast,,153473,167020,179631,190755,203690,217275,232290,243644,258452,279465,303496,328006,354837,385679,410970,438208,464100,485910,511428,527137,543877,569068,582845,614886,6.2
1,Personal Health Care (Millions of Dollars),Region,6,Southwest,,61231,66765,71460,75346,81099,86882,93111,98842,105681,112529,123197,135326,145104,155867,172197,184751,197344,210769,222997,232461,241439,252982,260223,276517,6.8
1,Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,17124,18564,19912,21053,22735,24329,26158,28239,29983,32965,35936,39302,42517,45704,48561,52529,56350,59403,62497,65050,67706,70940,73889,78574,6.8
1,Personal Health Care (Millions of Dollars),Region,8,Far West,,108376,117451,123242,127469,132662,137994,143590,154866,163028,171886,187819,204738,224358,241404,260281,277306,298827,316189,330051,345849,361495,379429,395454,417238,6
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Alabama,10393,11284,12028,12742,13590,14450,15462,15860,16451,17504,18619,20209,22491,23797,25338,26638,27700,28765,30095,30728,31398,32848,33788,35263,5.5
1,Personal Health Care (Millions of Dollars),State,8,Far West,Alaska,1458,1558,1661,1728,1879,2076,2240,2386,2569,2867,3276,3642,3955,4256,4765,5048,5426,5807,6112,6519,6928,7406,7684,8151,7.8
1,Personal Health Care (Millions of Dollars),State,6,Southwest,Arizona,9269,9815,10655,11364,12042,12850,13418,14465,15550,16646,18129,20390,22464,24795,28190,30766,33366,35547,37258,38620,39295,40495,41481,43356,6.9
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Arkansas,5632,6022,6397,6810,7343,7817,8393,8814,9407,10009,10846,11797,12578,13470,14611,15431,16426,17246,18071,18735,19356,20076,20500,21980,6.1
1,Personal Health Care (Millions of Dollars),State,8,Far West,California,81438,87949,91963,94245,96870,100215,103681,111224,116036,121604,132336,143875,158268,170083,182958,194413,209397,221013,229541,241916,253844,266767,278168,291989,5.7
1,Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Colorado,8460,9215,9803,10382,11153,11863,12572,13790,14764,16307,17669,19123,20690,22103,22867,24849,26525,27797,29246,30187,31372,32726,34090,36398,6.5
1,Personal Health Care (Millions of Dollars),State,1,New England,Connecticut,10950,11635,12081,12772,13649,14139,14948,15944,16785,17691,19087,20558,21695,23560,24538,25997,27488,29141,31132,31727,32129,33421,34223,35413,5.2
1,Personal Health Care (Millions of Dollars),State,2,Mideast,Delaware,1938,2111,2285,2489,2655,2772,3026,3207,3539,3760,4051,4462,5042,5498,5899,6285,6735,7191,7495,7938,8365,8650,9038,9587,7.2
1,Personal Health Care (Millions of Dollars),State,2,Mideast,District of Columbia,2800,3098,3240,3255,3285,3362,3374,3461,3578,3611,3828,4118,4355,4766,4971,5138,5492,5779,6182,6582,7000,7130,7443,7871,4.6
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Florida,39430,43041,46123,48886,51568,55090,58706,61558,65516,71581,77621,83895,90733,99100,106293,114162,120960,126977,133067,137609,141462,147685,150547,160624,6.3
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Georgia,16612,18207,19722,20784,22276,23622,24976,26480,27814,29664,31886,35179,37579,41499,43655,47131,49827,50930,53035,53950,56053,59575,62399,66447,6.2
1,Personal Health Care (Millions of Dollars),State,8,Far West,Hawaii,2959,3163,3439,3710,3972,4246,4263,4446,4570,4712,5031,5463,5943,6391,6967,7275,8023,8503,8810,8860,8993,9469,9781,10338,5.6
1,Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Idaho,2213,2415,2608,2762,3005,3260,3509,3781,4052,4410,4820,5372,5798,6252,6854,7426,7990,8377,8861,9424,9718,10182,10627,11315,7.4
1,Personal Health Care (Millions of Dollars),State,3,Great Lakes,Illinois,31577,34119,36158,38139,40104,42069,44152,46490,48640,52067,55765,60058,63790,67505,71747,76296,81934,84809,88515,93140,95542,98651,101891,106306,5.4
1,Personal Health Care (Millions of Dollars),State,3,Great Lakes,Indiana,14272,15552,16754,17425,18302,18747,20220,21574,22993,24524,26618,28700,31157,33705,35391,37908,40055,41200,43867,45352,47476,51306,52046,54741,6
1,Personal Health Care (Millions of Dollars),State,4,Plains,Iowa,7248,7704,8132,8619,9085,9667,10183,11057,11740,12459,13411,14215,15331,16203,17241,18411,19327,20184,21067,21895,22733,23528,24135,25487,5.6
1,Personal Health Care (Millions of Dollars),State,4,Plains,Kansas,6529,7001,7344,7829,8367,8867,9428,10071,10723,11441,12312,13167,14021,15008,15885,16689,17684,18502,19161,19605,20522,21573,21490,22183,5.5
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Kentucky,8877,9697,10280,10768,11618,12473,13533,14337,15409,16891,18198,19746,20941,22410,23709,25217,26396,27282,28917,29995,31206,31960,33194,35323,6.2
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Louisiana,11259,12286,13170,13926,14578,15125,15920,16532,17437,18101,19207,20513,22229,23953,24866,25573,27532,29353,31253,32848,32765,33618,34639,36324,5.2
1,Personal Health Care (Millions of Dollars),State,1,New England,Maine,3152,3326,3567,3719,4052,4395,4752,5151,5604,6021,6595,7231,7952,8644,9233,9760,10243,10725,11114,11338,11720,11961,12139,12684,6.2
1,Personal Health Care (Millions of Dollars),State,2,Mideast,Maryland,13560,14531,15528,16540,17273,18231,19093,19538,20986,22511,24744,27120,29572,31821,33911,36747,39047,40931,43019,44847,46381,47792,48929,51330,6
1,Personal Health Care (Millions of Dollars),State,1,New England,Massachusetts,20015,21268,22863,23792,25226,26553,28098,30165,31012,33080,36008,39320,42429,45069,47920,51637,55554,58260,61376,63153,64915,67055,68899,71274,5.7
1,Personal Health Care (Millions of Dollars),State,3,Great Lakes,Michigan,25038,26437,28022,29729,31842,33797,35562,36417,38058,40287,42827,45585,48870,52684,55564,59457,62551,64824,67489,70336,73143,75507,76672,79874,5.2
1,Personal Health Care (Millions of Dollars),State,4,Plains,Minnesota,11981,12598,13458,14555,15634,16559,17639,19292,20475,22320,24408,26695,28765,30654,32417,34407,36648,37934,39720,41333,42618,43997,45865,48377,6.3
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Mississippi,5650,6060,6570,7077,7761,8339,8947,9334,9714,10618,11660,12621,13505,14708,15653,16826,18083,18931,19572,19729,20351,21995,22017,22879,6.3
1,Personal Health Care (Millions of Dollars),State,4,Plains,Missouri,13012,14242,15186,16307,17099,18154,19263,20574,21727,23420,25201,27551,29647,31341,32853,33959,37229,39643,41141,42659,44726,46743,47499,49137,5.9
1,Personal Health Care (Millions of Dollars),State,7,Rocky Mountains,Montana,1907,2071,2187,2286,2498,2577,2809,2989,3224,3487,3816,4069,4409,4706,5107,5472,5868,6223,6594,6968,7285,7685,8108,8409,6.7
1,Personal Health Care (Millions of Dollars),State,4,Plains,Nebraska,3790,4113,4352,4630,4901,5325,5621,6026,6461,7101,7846,8422,9080,9789,10491,11300,11883,12540,13038,13769,14213,14808,15197,15823,6.4
1,Personal Health Care (Millions of Dollars),State,8,Far West,Nevada,3086,3464,3696,4102,4404,4769,5211,5694,6249,6961,7800,8899,9891,11029,11995,12991,14123,14907,15302,15652,16198,16588,17485,19020,8.2
1,Personal Health Care (Millions of Dollars),State,1,New England,New Hampshire,2727,2997,3131,3299,3642,3963,4195,4545,4907,5264,5678,6114,6690,7395,8143,8809,9442,9967,10705,11149,11558,11954,12392,12742,6.9
