year,superregion2,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2010,Asia,0,0,0,1,85.771759,181.07936,24.639561,3.4971125,32.99091,76.50634,9.079319,55.927616,479.133,1661.1699,31.95336
2010,Asia,0,0,0,2,107.68131,228.43152,24.382624,4.9638653,50.610245,70.933884,9.3481236,56.184875,486.4429,1740.9364,43.871468
2010,Asia,0,0,0,3,126.65033,221.62682,25.758459,5.4196277,52.125763,81.167107,18.790636,59.912838,555.57166,1808.8031,71.801987
2010,Asia,0,0,0,999,109.11738,217.61978,24.831059,4.8230023,47.765541,74.952087,12.046786,57.222141,505.20361,1745.8171,49.779629
2010,Asia,0,0,1,1,107.91364,205.45464,25.648975,4.3558245,40.233555,60.485512,11.057073,57.27943,480.48853,1662.7207,40.145535
2010,Asia,0,0,1,2,132.08406,246.78221,24.851252,5.0865211,58.323479,60.606155,11.672072,57.074112,487.06052,1773.547,55.749115
2010,Asia,0,0,1,3,154.26195,228.88618,33.377449,5.9067364,59.15567,85.554329,27.189024,63.452156,578.6496,1907.4658,111.31966
2010,Asia,0,0,1,999,135.95885,234.16101,27.915726,5.2552977,55.786972,69.18985,16.926571,59.305405,517.61609,1802.4266,72.475311
2010,Asia,0,0,999,1,95.702568,192.01187,25.092291,3.882252,36.239296,69.320869,9.9663582,56.533916,479.74097,1661.8655,35.627617
2010,Asia,0,0,999,2,119.4297,237.26622,24.608238,5.0229163,54.323685,65.961723,10.466959,56.612988,486.74023,1756.6364,49.589809
2010,Asia,0,0,999,3,141.42542,225.51135,29.835409,5.6802816,55.887493,83.514732,23.284645,61.806744,567.92078,1861.5979,92.948036
2010,Asia,0,0,999,999,122.34574,225.77185,26.351284,5.0360518,51.718769,72.112267,14.451706,58.248844,511.32092,1773.7162,60.964813
2010,Asia,0,1,0,1,75.105446,224.49767,22.926313,3.9782481,31.726164,43.119461,2.4724634,53.597321,352.67224,1887.8926,11.184369
2010,Asia,0,1,0,2,92.825256,272.40329,22.179947,5.3873219,46.64389,38.436062,2.3175876,53.38559,357.9841,1985.4863,14.833937
2010,Asia,0,1,0,3,108.30736,266.53177,24.983969,5.7549582,48.427845,44.697338,4.8956776,57.050358,407.51486,2072.8125,24.752129
2010,Asia,0,1,0,999,94.34362,262.55157,23.126646,5.2555556,44.632416,41.062279,3.0977786,54.493206,371.56601,1994.4503,17.114517
2010,Asia,0,1,1,1,93.362862,247.77222,24.046133,4.7313113,37.745071,34.30912,2.9751446,54.485958,353.97595,1913.2347,14.319618
2010,Asia,0,1,1,2,113.11885,288.02298,24.751827,5.4938593,52.904152,34.499088,3.0791888,54.746471,365.95566,2044.6942,20.650572
2010,Asia,0,1,1,3,130.96915,265.06635,38.564018,5.9218163,53.262741,50.455486,8.1814203,62.225204,450.26291,2233.8291,46.019516
