year,superregion2,female,age,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2010,Asia,0,2,0,1,86.267075,158.10995,21.231594,5.1407757,14.592233,2.823334,11.07157,57.347618,719.72345,1854.0656,44.565815
2010,Asia,0,2,0,2,108.66718,199.92836,20.999357,7.3796587,22.493246,2.642391,11.467425,57.820969,733.42584,1938.9357,61.763561
2010,Asia,0,2,0,3,127.77821,194.17639,21.9291,8.0355921,23.159119,3.0022001,22.910112,61.50642,837.40369,2005.9308,100.66087
2010,Asia,0,2,0,999,109.99046,190.3893,21.31258,7.1483593,21.199013,2.78075,14.709845,58.800182,760.987,1942.3802,69.801636
2010,Asia,0,2,1,1,108.68623,180.07091,22.04026,6.3748093,17.852566,2.2024672,13.406156,58.784748,723.63965,1854.5569,55.950157
2010,Asia,0,2,1,2,133.3259,216.78198,21.197508,7.5400019,25.875875,2.1977229,14.213503,58.494667,734.36182,1969.7634,77.875938
2010,Asia,0,2,1,3,155.38498,202.13292,28.029934,8.7176256,26.289595,3.0386283,32.596176,64.959976,871.52185,2122.6287,154.43188
2010,Asia,0,2,1,999,136.931,205.99574,23.654129,7.7562094,24.7479,2.4844224,20.336861,60.739056,779.30756,2003.5284,100.4418
2010,Asia,0,2,999,1,96.258949,167.89761,21.592003,5.6907654,16.045313,2.546623,12.112059,57.988125,721.46881,1854.2845,49.639641
2010,Asia,0,2,999,2,120.48521,208.00569,21.094324,7.4565053,24.114418,2.4292777,12.783522,58.143848,733.87439,1953.7103,69.485641
2010,Asia,0,2,999,3,142.38028,198.38486,25.156021,8.3963413,24.814924,3.0214682,28.033373,63.333115,855.44989,2067.656,129.10202
2010,Asia,0,2,999,999,123.16583,198.0217,22.457724,7.4456306,22.93461,2.6358302,17.461758,59.748398,769.94678,1972.285,84.786316
2010,Asia,0,7,0,1,95.50087,192.75438,28.399727,3.4839213,36.601849,68.428024,11.517128,56.441765,456.86011,1584.0737,36.697777
2010,Asia,0,7,0,2,120.33699,244.22052,28.602198,5.010376,56.660416,63.517208,12.075935,56.69294,465.78928,1657.0806,51.031853
2010,Asia,0,7,0,3,141.51999,236.5329,30.114456,5.4625621,58.219193,72.355995,24.075214,60.682701,532.43286,1730.2563,83.342186
2010,Asia,0,7,0,999,121.82428,232.25862,29.004995,4.8539662,53.326767,67.022415,15.469877,57.809082,483.53888,1664.6335,57.747734
2010,Asia,0,7,1,1,120.3397,218.95036,29.967497,4.3567491,44.750824,53.374302,14.176597,57.745693,460.16983,1580.7275,46.348236
2010,Asia,0,7,1,2,147.68484,264.03064,29.288982,5.1062918,65.239372,53.552704,15.124343,57.935661,467.51556,1688.3513,64.810036
2010,Asia,0,7,1,3,172.46384,245.2489,39.077961,5.9883976,66.032249,74.15464,34.692924,64.248665,556.4541,1828.0903,128.66447
2010,Asia,0,7,1,999,151.92525,250.4357,32.775288,5.2925677,62.281086,60.636597,21.730148,60.085018,497.05945,1719.6135,83.941071
