countryname,Fruit Consumption,non-starchy vegetable consumption,Beans and Legumes,Nuts and Seeds,Unprocessed red meat,sugar-sweetened beverages,Fruit Juices,Protein,Calcium (milligrams),Potassium (milligrams),Total Milk
Afghanistan,126.78878045,141.40327690416672,19.368606854583334,5.147993236666665,2.784258779458335,146.3480999833334,111.83478861666657,57.07321579999997,421.49725970833344,1586.504583333333,22.138956475000008
Albania,176.74378666666664,129.45002837500002,55.30687698749996,10.09212898416667,51.81549283749997,125.17113615416666,44.106661770833334,74.88562342499998,621.5500709166668,3250.6969433333347,134.35622784166674
Algeria,82.50308241250005,174.38268780416672,18.519682667916662,5.728546648333334,26.91069430791668,218.84584106666668,24.123555395833346,65.3370359625,707.9569208333331,2388.8794725,184.70697490416666
Angola,109.60306650416662,133.14623737083332,11.687753766666662,25.040275472916672,20.405444747500006,199.34464405833324,29.612590086250005,77.44039687083335,455.23675216666675,3085.62209625,53.70675559166667
Antigua and Barbuda,144.09853604166662,146.5677393208334,66.76163548333328,5.222283155999999,26.409503748749994,573.3207007083333,149.0632301833333,86.9581860166667,739.789616333333,2390.763048749999,160.77107079166666
Argentina,100.5077427833333,111.34259207500006,2.2586408676666667,1.1878450760416661,77.68105609999999,215.56674412500013,46.4665216458333,72.13868542083334,587.3317940000002,1999.1610583333336,87.3411832624999
Armenia,88.85776959166668,91.17833818749997,28.61372433916664,5.625319684416661,32.793167829166656,57.14846512083336,45.41152519583333,70.49737165833335,636.6122784166666,3279.4236662499998,71.14063897499999
Australia,155.5724317041667,136.536457225,57.56176335,3.741493119166667,109.89789131249997,144.23468267083337,38.01225867916666,85.34769359999994,818.9809664583337,2864.3856116666693,195.91413358333332
Austria,104.26143771666666,95.96344082083333,10.566927603749996,3.9565673641666663,83.62251328750003,112.72704137916662,57.03278645833332,74.14674223750002,706.5187551250002,3441.210090000001,101.10469976666671
Azerbaijan,97.36088781249997,82.24587672500004,26.15398109249999,5.408479343624998,55.494588825000015,75.114196325,15.31867447416667,82.75161317083328,716.5997820000003,2929.050231250003,86.93348720833333
Bahamas,103.78042453750004,126.31709752916665,39.98411879166668,4.735045706208333,31.378219732499993,384.64429229166666,50.53542902083333,86.32094475,827.4352760833336,2501.1702366666673,156.18723724999998
Bahrain,63.11733979166665,122.13202934166661,36.650517059583336,0.8760561981666669,3.9349047258333303,375.05700437500013,38.301838695833325,65.71043749583336,618.8394442916667,2276.131948749999,99.05303021250003
Bangladesh,95.34048714166663,249.52659309166668,54.87236978333332,1.6674849827499993,17.915024842499992,84.2148342333333,32.433688379166654,62.69275493333334,468.9846105833334,1356.6388949999991,52.064930254166676
Barbados,139.25875328749999,155.81137907083328,14.608512994583334,6.523456772500001,54.07544610833334,480.5334620416666,9.501468594166665,74.77712567500002,549.0318004166667,2139.271638333333,74.3458678625
Belarus,49.64940327500003,71.04427542916672,83.13034737916668,2.839971213875,60.32476291666668,74.7347525583334,19.79797368708334,82.05129134583329,664.7407446666667,2803.7770037500018,105.0858187041667
Belgium,131.09749443750005,115.17791602083325,3.780267929583334,2.778010652916666,55.4028688333333,201.60487867499995,59.16934768749999,77.28186085416664,778.2343051666663,3928.7536641666647,100.91247899583325
Belize,185.0432832083333,167.03944954999994,18.51538426041667,2.829458774958332,13.442421967916667,371.5538950416667,41.559026954166676,62.160419841666666,747.2487312916662,2713.9066537499994,144.64628973750007
Benin,87.11713527083336,108.04634229166662,37.324495366666675,2.602767590250002,16.208484112916658,254.78944516249987,45.94097945833334,54.47377751249999,458.30589716666714,2525.174940833333,54.61869247083332
Bhutan,104.29442517916671,266.33202578750013,12.527162234166667,3.567962968333335,17.09161814791667,154.30442688333326,42.97698779999999,56.91768669999998,527.1246250833331,1241.551012916668,42.51449871666668
Bosnia Herzegovina,90.19163084166664,104.57504511249996,4.288282649583333,5.436236130333337,62.36803009583333,83.8998506625,31.727001912499986,74.03768355416663,721.8391298749999,3262.3992008333316,197.77698562500004
Botswana,51.35639355416664,109.86618771250001,3.4726241474999995,6.767700127916671,16.24478160833333,233.16703517500017,17.223488580416664,93.18043299166666,627.2764600000003,4442.706242499998,115.37697185416658
Brazil,101.90207353750003,111.486123925,105.17097050833331,1.1763450374999997,90.03768887500001,95.3309675291667,63.4201286125,80.87347317083335,601.9428647500004,1790.0061329166667,117.28892379166658
Brunei Darussalam,113.38008997916671,144.4476060833334,218.11969516666665,7.525900277083333,13.645590810416662,194.29835071625004,29.890123904583344,82.51878929583336,506.22438300000033,2673.6270983333334,89.51601277916667
Bulgaria,79.28910769583335,159.97881568749997,8.938709260416669,4.091787778791668,41.74551184166666,94.0168716666667,19.150328090416664,78.94985333750002,619.9824730833334,3699.9702666666694,153.37982502916665
Burkina Faso,65.51994931249997,113.03092726250006,17.314229847083343,5.156466409999998,12.351011822499993,84.23550665000002,28.85728356541667,96.9749228875,456.1099234999999,2500.139568749999,37.89068286666669
Burundi,134.94178305000003,158.4782182874999,39.80978359999999,4.704041454166668,16.938887724583346,116.7524115666666,21.870896552083327,29.553414216666674,395.0777623750001,2372.253199583333,55.48430670833337
Cabo Verde,115.3116708791667,160.7943656208333,7.11860119583333,6.196079195000004,19.192634649583336,291.4799918833334,27.40270803958334,78.55135576666663,542.1709327916665,3203.352624166668,99.0907894416667
Cambodia,84.4621227166666,113.46793724166666,8.053359585833329,4.600471063749999,35.87305285416666,136.91891455333337,17.094517665833322,48.754191674999994,374.8642545416668,1585.0046241666655,26.510759353749986
Cameroon,92.12056519583335,118.97223996666668,50.62476387083335,3.7288527320833316,29.5674126725,117.77382229583323,23.505154543333315,46.76228827083331,474.7772057500003,2695.0388,73.34908322499997
Canada,126.82165717083336,135.20428014999993,12.761211990833333,5.562899105833334,50.50391463749995,170.1976826999999,103.85674100833333,76.75931565416663,872.211313791667,2803.6228512499997,210.540598
Central African Republic,78.9722837666667,129.64017219583332,60.28266200416665,4.128913664999998,54.593417398750006,206.5991272166667,31.553787623750033,57.41506150833333,449.54803916666685,3220.1448716666628,29.530550671666635
Chad,95.27662478749994,108.8274518083333,8.587188094166665,23.39468519791667,48.18151180166663,218.6679283708335,15.07646058000001,62.512246854166705,418.60461975,2998.9600129166693,95.44899683750002
Chile,129.52349592083334,138.79144964583335,19.90794650583333,5.647813070000004,10.98039744583334,365.11418841666705,10.107830060833338,72.19280711666671,641.9857158333336,2663.6663741666666,154.4547899916667
China,134.58787728333334,313.1566850000001,18.65439227916668,3.2428648033333327,62.3850683125,10.539852704666668,0.10288352052916662,44.36393181250002,325.79623654166664,1512.048752916667,13.04146919125
Colombia,114.3997692874999,101.1500127958334,47.35133396666667,4.7178583300833346,90.58689050000004,368.8864421250001,73.61064918749999,61.20552822916669,541.8452000833331,1670.3980408333346,182.83519560416664
Comoros,122.37461760833331,94.4215502916667,7.656716023333335,9.443004400833328,7.7470099066666664,331.5466013999998,40.88197676874999,45.898169416666654,529.4053729999999,2380.147244583333,96.72494791666665
Congo,120.1992864000001,138.7459157666667,29.035451314583337,6.1477154475,99.99367300416672,119.23961182083326,34.028707462083325,61.77020103750003,464.5830760416667,1761.8410654166678,82.437361475
