year,superregion2,iso3,countryname,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
1995,MENA,AFG,Afghanistan,0,0,0,1,108.77,90.65567,6.584744,2.7071786,1.4520516,363,139.32201,40.645504,342.11792,1110.4203,18.751431
1995,MENA,AFG,Afghanistan,0,0,0,2,135.96799,96.473152,7.3011742,3.653177,1.8092071,428.5687,198.84651,41.996857,358.00549,1165.5721,25.538969
1995,MENA,AFG,Afghanistan,0,0,0,3,164.7832,109.2848,8.2002687,4.4143071,2.2044373,386.2916,246.51151,42.496376,371.84299,1213.3982,31.689198
1995,MENA,AFG,Afghanistan,0,0,0,999,116.11327,92.829346,6.7908788,2.940722,1.5500084,370.56787,153.99654,40.925812,346.1358,1124.349,20.489609
1995,MENA,AFG,Afghanistan,0,0,1,1,126.20975,94.683914,7.0737629,3.2045226,1.7690455,312.9173,182.02101,40.5574,369.12601,1130.8828,22.115522
1995,MENA,AFG,Afghanistan,0,0,1,2,158.5896,101.52678,8.0539322,4.3026657,2.2078228,369.21625,258.86462,42.025848,386.28879,1176.4045,30.186516
1995,MENA,AFG,Afghanistan,0,0,1,3,192.95203,114.04235,8.556572,5.1714883,2.6153393,334.68625,329.25671,42.53194,403.00528,1224.6838,37.065323
1995,MENA,AFG,Afghanistan,0,0,1,999,134.95728,97.009048,7.2898035,3.4742918,1.8823106,319.57581,201.76868,40.858665,373.6268,1143.178,24.142975
1995,MENA,AFG,Afghanistan,0,0,999,1,112.54118,91.526741,6.6904898,2.8147242,1.5205984,352.1701,148.55524,40.626453,347.95813,1114.8451,19.478882
1995,MENA,AFG,Afghanistan,0,0,999,2,140.85968,97.565948,7.4639506,3.7936225,1.8954037,415.73434,211.82483,42.003128,364.12149,1167.9146,26.543955
1995,MENA,AFG,Afghanistan,0,0,999,3,170.87444,110.31358,8.2773161,4.5780401,2.2932909,375.13248,264.40433,42.504066,378.58154,1215.8386,32.85173
1995,MENA,AFG,Afghanistan,0,0,999,999,120.1881,93.73317,6.898767,3.0561013,1.6218654,359.54135,164.32678,40.911293,352.08051,1128.4207,21.279613
1995,MENA,AFG,Afghanistan,0,1,0,1,122.8883,151.41765,11.50147,4.7156253,1.9768275,238.56746,142.17471,43.580395,364.89798,1163.8502,13.484049
1995,MENA,AFG,Afghanistan,0,1,0,2,155.18042,162.47131,12.886672,6.355794,2.4441462,283.25967,204.07458,44.983727,381.36932,1218.0438,18.470392
1995,MENA,AFG,Afghanistan,0,1,0,3,187.35747,182.01566,14.352872,7.5075064,2.9710515,256.92618,251.11749,45.636971,399.1752,1266.8059,22.916416
1995,MENA,AFG,Afghanistan,0,1,0,999,131.42235,155.11255,11.87534,5.1053109,2.1058846,243.95099,157.20589,43.883682,369.37735,1177.6971,14.754428
1995,MENA,AFG,Afghanistan,0,1,1,1,143.43887,157.98137,12.097397,5.3888955,2.3996859,204.63878,184.06992,43.406368,393.12817,1176.7794,16.027296
1995,MENA,AFG,Afghanistan,0,1,1,2,180.606,170.09344,13.736075,7.2420931,2.9468756,241.82855,265.00095,44.962982,410.87131,1230.6078,21.846594
1995,MENA,AFG,Afghanistan,0,1,1,3,219.52888,189.62869,14.633066,8.6553602,3.6323023,221.74681,333.18393,45.718304,428.30923,1276.7598,27.016024
1995,MENA,AFG,Afghanistan,0,1,1,999,153.43254,161.8595,12.463719,5.8393497,2.5570104,209.28467,204.328,43.745571,397.79532,1190.3262,17.508139
1995,MENA,AFG,Afghanistan,0,1,999,1,127.33215,152.83699,11.630333,4.8612132,2.0682664,231.23071,151.23413,43.542763,371.00247,1166.646,14.034
1995,MENA,AFG,Afghanistan,0,1,999,2,160.67845,164.11952,13.070348,6.5474472,2.5528564,274.3006,217.2493,44.97924,387.74884,1220.7607,19.200462
1995,MENA,AFG,Afghanistan,0,1,999,3,194.31421,183.6619,14.413461,7.7557178,3.1140401,249.31898,268.86353,45.654556,405.47513,1268.9583,23.802916
1995,MENA,AFG,Afghanistan,0,1,999,999,136.18184,156.57152,12.002572,5.2640395,2.2034361,236.45474,167.39558,43.853821,375.52246,1180.4281,15.349891
1995,MENA,AFG,Afghanistan,0,999,0,1,114.61092,115.79364,8.6188536,3.5380974,1.6691579,311.52075,140.50221,41.859707,351.54233,1132.5249,16.572252
